 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204210000;6.9;0.0;59.2;59.2;9.7
GRE;202204210010;6.0;0.0;62.6;62.6;9.0
GRE;202204210020;6.7;0.0;60.3;60.3;8.6
GRE;202204210030;6.3;0.0;60.3;60.3;8.3
GRE;202204210040;5.6;0.0;64.3;64.3;6.8
GRE;202204210050;5.9;0.0;62.9;62.9;7.6
GRE;202204210100;5.2;0.0;65.1;65.1;9.7
GRE;202204210110;5.5;0.0;64.3;64.3;9.7
GRE;202204210120;5.5;0.0;63.9;63.9;8.3
GRE;202204210130;5.3;0.0;63.8;63.8;7.9
GRE;202204210140;4.8;0.0;67.0;67.0;7.6
GRE;202204210150;4.8;0.0;67.3;67.3;5.8
GRE;202204210200;5.1;0.0;66.0;66.0;5.0
GRE;202204210210;4.2;0.0;70.4;70.4;6.5
GRE;202204210220;2.8;0.0;74.7;74.7;9.4
GRE;202204210230;2.9;0.0;76.1;76.1;8.6
GRE;202204210240;3.2;0.0;74.7;74.7;8.6
GRE;202204210250;3.3;0.0;73.9;73.9;7.9
GRE;202204210300;3.7;0.0;71.6;71.6;8.3
GRE;202204210310;3.2;0.0;73.0;73.0;6.8
GRE;202204210320;4.1;0.0;70.7;70.7;5.0
GRE;202204210330;4.9;0.0;66.2;66.2;4.0
GRE;202204210340;4.6;0.0;66.1;66.1;4.3
GRE;202204210350;4.4;0.0;70.4;70.4;1.4
GRE;202204210400;3.8;0.0;77.1;77.1;1.1
GRE;202204210410;3.3;0.0;77.9;77.9;0.7
GRE;202204210420;3.5;0.0;76.5;76.5;1.4
GRE;202204210430;3.3;0.0;74.0;74.0;3.6
GRE;202204210440;2.2;0.0;81.3;81.3;5.0
GRE;202204210450;2.2;0.0;82.5;82.5;4.7
GRE;202204210500;1.0;0.0;85.8;85.8;4.3
GRE;202204210510;0.9;0.0;85.4;85.4;3.6
GRE;202204210520;1.3;0.0;84.9;84.9;3.6
GRE;202204210530;2.1;0.0;83.7;83.7;5.4
GRE;202204210540;3.8;0.0;74.6;74.6;6.8
GRE;202204210550;4.8;0.0;70.4;70.4;8.6
GRE;202204210600;5.7;0.0;67.3;67.3;10.8
GRE;202204210610;6.2;0.0;65.6;65.6;12.2
GRE;202204210620;6.6;0.0;65.0;65.0;11.2
GRE;202204210630;6.8;0.0;62.8;62.8;14.0
GRE;202204210640;7.2;0.0;61.4;61.4;14.4
GRE;202204210650;7.5;0.0;59.5;59.5;13.3
GRE;202204210700;7.9;0.0;57.2;57.2;16.6
GRE;202204210710;8.3;0.0;57.0;57.0;14.8
GRE;202204210720;8.7;0.0;55.3;55.3;14.0
GRE;202204210730;9.1;0.0;54.2;54.2;14.4
GRE;202204210740;9.4;0.0;53.2;53.2;14.4
GRE;202204210750;9.8;0.0;52.4;52.4;15.1
GRE;202204210800;10.2;0.0;51.6;51.6;19.1
GRE;202204210810;10.6;0.0;51.5;51.5;17.6
GRE;202204210820;11.0;0.0;50.3;50.3;15.8
GRE;202204210830;11.2;0.0;49.5;49.5;15.5
GRE;202204210840;11.4;0.0;49.4;49.4;14.8
GRE;202204210850;11.9;0.0;49.3;49.3;13.7
GRE;202204210900;12.4;0.0;48.4;48.4;13.7
GRE;202204210910;12.7;0.0;47.5;47.5;14.8
GRE;202204210920;13.1;0.0;46.8;46.8;16.6
GRE;202204210930;13.5;0.0;46.3;46.3;22.3
GRE;202204210940;14.0;0.0;47.4;47.4;16.9
GRE;202204210950;14.1;0.0;45.1;45.1;18.7
GRE;202204211000;14.3;0.0;44.1;44.1;20.5
GRE;202204211010;14.5;0.0;43.9;43.9;21.6
GRE;202204211020;14.5;0.0;44.0;44.0;19.1
GRE;202204211030;14.9;0.0;44.1;44.1;18.7
GRE;202204211040;15.1;0.0;43.5;43.5;19.8
GRE;202204211050;14.9;0.0;44.1;44.1;17.3
GRE;202204211100;15.1;0.0;44.1;44.1;19.1
GRE;202204211110;15.3;0.0;43.8;43.8;18.4
GRE;202204211120;15.5;0.0;42.5;42.5;19.1
GRE;202204211130;15.8;0.0;43.2;43.2;18.0
GRE;202204211140;15.5;0.0;42.3;42.3;20.5
GRE;202204211150;15.4;0.0;43.0;43.0;19.8
GRE;202204211200;15.6;0.0;44.5;44.5;20.2
GRE;202204211210;15.5;0.0;43.4;43.4;20.5
GRE;202204211220;15.9;0.0;42.9;42.9;20.9
GRE;202204211230;16.3;0.0;41.9;41.9;21.2
GRE;202204211240;16.8;0.0;41.3;41.3;21.6
GRE;202204211250;17.0;0.0;41.2;41.2;19.8
GRE;202204211300;17.1;0.0;40.8;40.8;22.0
GRE;202204211310;17.0;0.0;39.3;39.3;22.7
GRE;202204211320;17.2;0.0;39.4;39.4;22.7
GRE;202204211330;17.3;0.0;37.8;37.8;21.6
GRE;202204211340;17.5;0.0;37.5;37.5;22.3
GRE;202204211350;17.4;0.0;35.9;35.9;24.1
GRE;202204211400;17.4;0.0;36.1;36.1;23.4
GRE;202204211410;17.4;0.0;35.3;35.3;22.7
GRE;202204211420;17.3;0.0;34.2;34.2;23.8
GRE;202204211430;17.2;0.0;34.8;34.8;24.5
GRE;202204211440;17.5;0.0;35.4;35.4;22.7
GRE;202204211450;17.4;0.0;33.4;33.4;24.1
GRE;202204211500;17.2;0.0;33.7;33.7;24.1
GRE;202204211510;17.1;0.0;32.5;32.5;25.6
GRE;202204211520;17.0;0.0;31.5;31.5;24.8
GRE;202204211530;16.9;0.0;32.1;32.1;22.7
GRE;202204211540;17.3;0.0;30.4;30.4;24.5
GRE;202204211550;17.2;0.0;28.8;28.8;25.9
GRE;202204211600;17.3;0.0;28.5;28.5;22.7
GRE;202204211610;17.0;0.0;31.1;31.1;20.9
GRE;202204211620;17.0;0.0;29.8;29.8;22.3
GRE;202204211630;16.9;0.0;30.2;30.2;20.9
GRE;202204211640;16.7;0.0;31.9;31.9;20.5
GRE;202204211650;16.5;0.0;32.8;32.8;18.0
GRE;202204211700;16.3;0.0;31.8;31.8;18.7
GRE;202204211710;16.2;0.0;30.9;30.9;20.5
GRE;202204211720;15.7;0.0;33.8;33.8;18.0
GRE;202204211730;15.5;0.0;33.7;33.7;19.1
GRE;202204211740;15.4;0.0;33.2;33.2;18.4
GRE;202204211750;14.7;0.0;35.7;35.7;15.1
GRE;202204211800;13.6;0.0;40.1;40.1;11.2
GRE;202204211810;11.7;0.0;48.0;48.0;11.2
